Country,StateUSA,Info,City
España,"Fuenlabrada,","{('5G', '72665346', '442'): {'MeanLatency': 47.6625, 'MeanThroughput': 6.229444554455443}, ('LTE', '72665346', '442'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '74018306', '415'): {'MeanLatency': nan, 'MeanThroughput': 16.602473333333336}, ('5G', '74018306', '415'): {'MeanLatency': nan, 'MeanThroughput': 29.71003333333334}, ('5G', '2147483647', '8'): {'MeanLatency': nan, 'MeanThroughput': 0.0}, ('LTE', '2147483647', '8'): {'MeanLatency': 350.3333333333333, 'MeanThroughput': 0.0}}",Fuenlabrada
Norway,0161,"{('5G', '31340301', '264'): {'MeanLatency': 36.7, 'MeanThroughput': 100.37670729166666}, ('LTE', '31340301', '264'): {'MeanLatency': nan, 'MeanThroughput': 59.58072727272727}}",kommune
Canada,V5T,"{('LTE', '32380712', '242'): {'MeanLatency': 37.28181818181818, 'MeanThroughput': 7.705474242424241}}",Vancouver
España,28029,"{('5G', '74114561', '363'): {'MeanLatency': 53.472727272727276, 'MeanThroughput': 32.801090082644635}, ('LTE', '74114561', '363'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Madrid
United States,MA,"{('5G', '16940042', '152'): {'MeanLatency': 47.3909090909091, 'MeanThroughput': 15.029559047619049}, ('LTE', '16940042', '152'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Brookline
España,28020,"{('5G', '72655618', '349'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '72655618', '349'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '72655617', '348'): {'MeanLatency': 508.1818181818182, 'MeanThroughput': 1.0925041666666666}, ('LTE', '72655617', '348'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Madrid
España,"Alarcón,","{('LTE', '72376583', '105'): {'MeanLatency': 61.85454545454545, 'MeanThroughput': 3.9501171232876704}}",Alarcón
Norway,0450,"{('LTE', '52404493', '407'): {'MeanLatency': 45.481818181818184, 'MeanThroughput': 59.64447128712873}}",kommune
Canada,BC,"{('5G', '9223372036854775807', '176'): {'MeanLatency': nan, 'MeanThroughput': 6.649617073170732}, ('LTE', '9223372036854775807', '176'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '9223372036854775807', '175'): {'MeanLatency': 48.209090909090904, 'MeanThroughput': 9.38167631578947}}",Coquitlam
España,28023,"{('LTE', '72909741', '429'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '72275207', '159'): {'MeanLatency': 56.83636363636364, 'MeanThroughput': 17.35770388349514}}",Madrid
España,28029,"{('5G', '72092163', '188'): {'MeanLatency': 55.527272727272724, 'MeanThroughput': 9.565191603053437}, ('LTE', '72092163', '188'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Madrid
España,28023,"{('LTE', '72961801', '44'): {'MeanLatency': nan, 'MeanThroughput': 1.2233133333333335}, ('LTE', '72091143', '219'): {'MeanLatency': 65.7090909090909, 'MeanThroughput': 9.934589473684213}}",Madrid
United States,TX,"{('LTE', '136833302', '166'): {'MeanLatency': 72.60909090909091, 'MeanThroughput': 1.60188125}}",Station
Norway,0184,"{('5G', '32028951', '86'): {'MeanLatency': 50.91000000000001, 'MeanThroughput': 137.57583076923078}, ('LTE', '32028951', '86'): {'MeanLatency': nan, 'MeanThroughput': nan}}",kommune
España,"Fortuna,","{('LTE', '73985537', '428'): {'MeanLatency': 57.66363636363636, 'MeanThroughput': 14.060428181818178}}",Fortuna
United States,TX,"{('5G', '137410915', '60'): {'MeanLatency': 111.32727272727271, 'MeanThroughput': 31.14484786324786}, ('LTE', '137410915', '60'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Hempstead
España,28035,"{('LTE', '74165763', '89'): {'MeanLatency': 60.81818181818182, 'MeanThroughput': 19.923306666666665}, ('5G', '74165763', '89'): {'MeanLatency': nan, 'MeanThroughput': 80.38781666666667}, ('5G', '74193154', '274'): {'MeanLatency': nan, 'MeanThroughput': 85.15713939393939}, ('LTE', '74193154', '274'): {'MeanLatency': nan, 'MeanThroughput': 32.98663333333333}}",Madrid
España,"Alarcón,","{('5G', '73603841', '186'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '73603841', '186'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '73166595', '302'): {'MeanLatency': nan, 'MeanThroughput': 11.414094117647059}, ('LTE', '73166595', '302'): {'MeanLatency': nan, 'MeanThroughput': 5.242767567567569}, ('5G', '73166594', '301'): {'MeanLatency': nan, 'MeanThroughput': 4.25653043478261}, ('LTE', '73166594', '301'): {'MeanLatency': 45.5, 'MeanThroughput': nan}, ('LTE', '73144322', '31'): {'MeanLatency': 63.61999999999999, 'MeanThroughput': nan}}",Alarcón
Norway,0155,"{('5G', '32444191', '470'): {'MeanLatency': 39.89090909090909, 'MeanThroughput': 94.98313711340208}, ('LTE', '32444191', '470'): {'MeanLatency': nan, 'MeanThroughput': 25.62421111111111}}",kommune
España,28029,"{('5G', '73808385', '303'): {'MeanLatency': nan, 'MeanThroughput': 3.3921323529411764}, ('LTE', '73808385', '303'): {'MeanLatency': nan, 'MeanThroughput': 2.776411764705882}, ('LTE', '72578819', '488'): {'MeanLatency': 66.88181818181819, 'MeanThroughput': 7.610296774193547}}",Madrid
,OR,"{('LTE', '84486666', '281'): {'MeanLatency': 87.0, 'MeanThroughput': 22.751748623853214}}",
España,"Leganés,","{('5G', '72756737', '432'): {'MeanLatency': 47.64545454545455, 'MeanThroughput': 13.28657534246575}, ('LTE', '72756737', '432'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Leganés
España,28029,"{('LTE', '72040963', '440'): {'MeanLatency': 67.77272727272727, 'MeanThroughput': 6.024670175438596}}",Madrid
Italy,Torino,"{('5G', '0', '19'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '230516995', '85'): {'MeanLatency': 54.14545454545455, 'MeanThroughput': 24.866469523809513}}",Torino
